feature,importance
roll_mean_30,27.022860249977963
roll_mean_7,14.94243767715801
roll_mean_90,11.149876802067544
transactions,6.373713674237208
lag_1,4.524253802047933
dayofweek,3.9289085510421575
dow_sin,3.5986211647128448
lag_7,3.2369331408816255
lag_14,3.070108514780409
day,2.280086698025814
item_nbr,2.2217470049176753
oil,2.0290077471371113
store_nbr,1.8724564850407066
dow_cos,1.5804708099038995
class,1.483972006901894
family,1.4650697680812002
lag_28,1.3067030270598095
dayofyear,1.2711879787806328
cluster,1.2076139554277396
onpromotion,1.180503066481442
roll_std_30,0.9300466746151622
type,0.8120903890567938
roll_std_90,0.42438780692056144
is_holiday,0.4227460369261422
weekofyear,0.3734858670763989
roll_std_7,0.31425846755967024
year,0.16772818932820313
promo_ratio_store,0.16629233441940092
perishable,0.15885536847423923
month_cos,0.15234184442607712
month_sin,0.11838739862629273
promo_count_store,0.11558757642048371
month,0.08135603001513862
city,0.008764923874298797
state,0.007138967597339413
